,neighborhood,top 5 words in description
0,Roslindale,roslindale minute guest house neighborhood
1,Jamaica Plain,jamaica walk minute neighborhood bedroom
2,Mission Hill,apartment bed bedroom walk medical
3,Longwood Medical Area,longwood bathroom access kitchen medical
4,Bay Village,walk bay bed arlington bedroom
5,Leather District,bedroom station bed south minute
6,Chinatown,mi district apartment theater walk
7,North End,north end apartment bedroom walk
8,Roxbury,bedroom bed walk house neighborhood
9,South End,end south apartment bedroom restaurant
10,Back Bay,apartment bay back bedroom kitchen
11,East Boston,airport downtown minute station apartment
12,Charlestown,bedroom charlestown bed apartment historic
13,West End,apartment amenity court bedroom basketball
14,Beacon Hill,hill beacon street bedroom bed
15,Downtown,apartment downtown walk kitchen bed
16,Fenway,apartment fenway area bed walk
17,Brighton,home kitchen floor bedroom access
18,West Roxbury,house neighborhood we quiet bed
19,Hyde Park,minute neighborhood away quiet park
20,Mattapan,house guest bed queen bathroom
21,Dorchester,house minute walk min neighborhood
22,South Boston Waterfront,center seaport bedroom floor city
23,South Boston,bedroom south bed walk kitchen
24,Allston,bedroom harvard allston walk apartment
