,Year,Month,average_Price,year-Month
0,2016,09,252.67730830703658,2016-09
1,2016,10,233.4162477074118,2016-10
2,2016,11,202.9244158402391,2016-11
3,2016,12,192.60191484827124,2016-12
4,2017,01,182.7996707871037,2017-01
5,2017,02,180.96102798803028,2017-02
6,2017,03,181.81874195828274,2017-03
7,2017,04,197.25289011716166,2017-04
8,2017,05,193.7122947761194,2017-05
9,2017,06,196.5353018148717,2017-06
10,2017,07,202.4863089714899,2017-07
11,2017,08,203.33014164611868,2017-08
12,2017,09,194.65833055462932,2017-09
